AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
0.0828402366863905;0;1;3064;2;117;0.0204081632653061;54;0.023198651;1;0.1;0;1;192
;0;1;571;0;8;0;0;0.023198651;;0;0;0;316
;0;0;1691;1;8;;0;0.023198651;;;0;1;
;0;1;190;0;6;0;0;0.031356486;;0;0;0;
0.0363636363636364;4;1;1667;1;54;0.027027027027027;31;0.020120724;13;0;0;0;878
;0;0;32;1;0;;18;0.023198651;;;0;1;
;1;1;3516;0;19;4.66666666666667;0;0.023198651;;;0;0;2383
;2;1;816;1;12;0;0;0.026860354;;;0;0;
;1;1;374;0;3;0;0;0.023198651;1;0;0;1;247
;0;0;3493;0;4;;0;0.026860354;;;0;0;3372
;0;1;279;5;8;0;9;0.031356486;2;0;0;3;
0.0898876404494382;0;1;4216;2;87;0.0517241379310345;38;0.020120724;;0;0;0;2103
;0;0;1776;0;0;;0;0.023198651;;;0;0;
;;;4371;0;50;;0;0.026860354;;;;0;3769
;0;0;4543;0;10;;0;0.023198651;;;0;0;
;0;0;373;0;11;0;1;0.031356486;;0;0;0;
;1;0;1783;0;4;;0;0.023198651;;;0;0;1663
;0;1;544;5;11;0;0;0.023198651;;0;0;3;333
;;;852;0;6;0;0;0.023198651;5;;;0;664
0;0;1;849;0;13;0;11;0.023198651;1;0;0;0;
0;3;1;5421;0;42;0;3;0.020120724;;0;0;0;4729
0;2;1;5600;0;55;0;52;0.020120724;2;0;0;0;1859
;0;1;318;1;12;0;0;0.023198651;;0;0;1;11
;0;0;182;0;5;0;5;0.023198651;;0;0;0;
;3;1;2759;5;77;0.153846153846154;0;0.023198651;2;0.25;0;13;7
;1;0;1976;0;15;;0;0.023198651;1;;0;0;
;1;1;3259;0;39;0;0;0.023198651;;;0;0;639
;0;0;869;0;18;0;0;0.023198651;1;0;0;0;
;2;0;435;0;3;0;0;0.031356486;2;0;0;0;342
0.1875;1;1;3691;1;40;0.461538461538462;9;0.023198651;3;0.142857142857143;0;1;961
;0;1;2556;2;16;;0;0.023198651;;;0;2;2165
3.5;0;1;3771;1;100;0.166666666666667;23;0.020120724;3;0;0;1;1345
;2;1;5523;0;107;0.0476190476190476;0;0.023198651;1;0;0;0;124
0.184873949579832;0;1;2988;0;36;0.194444444444444;0;0.020120724;;0;0;0;1353
;1;0;1601;0;1;;0;0.023198651;;;0;0;1591
0.0196078431372549;4;1;4558;7;101;0.025;12;0.023198651;3;0;0;6;378
;;;5604;0;68;;0;0.020120724;;;;0;2457
0;0;1;;2;0;0;0;0.023198651;;0;0;0;
1.06040268456376;0;2;4919;10;54;0;48;0.023198651;3;0;0;12;550
0.260869565217391;0;1;1621;3;40;0.333333333333333;24;0.020120724;;0.333333333333333;0;3;
;1;1;370;0;9;0;0;0.023198651;2;0;0;0;91
0.863636363636364;0;1;5240;2;47;0;64;0.023198651;;0;0;0;392
1.88888888888889;3;1;5629;14;210;0;137;0.023198651;3;0;0;27;643
0.0632911392405063;1;1;1798;0;73;0.0158730158730159;0;0.023198651;;0;0;0;1648
;;;4339;0;9;;0;0.026860354;;;;0;
;0;1;299;0;9;0;3;0.023198651;;0;0;0;
1.5;0;0;803;1;23;0.125;0;0.023198651;;0.272727272727273;0;0;
;1;1;2770;0;89;0.0869565217391304;0;0.031356486;1;;0;0;414
;;;3042;0;2;;0;0.023198651;;;;0;2939
0.0344827586206897;0;1;935;1;29;0;2;0.023198651;;0;0;0;256
;1;1;1269;0;8;0;0;0.023198651;;;0;0;
0.02;0;1;5654;0;50;0;0;0.020120724;;0;0;0;4589
0.0149253731343284;5;1;1510;0;41;0.0185185185185185;29;0.023198651;;0;0;0;
0;5;1;1961;0;29;0;49;0.023198651;;0;0;0;
7.3;1;1;4636;0;66;1.05882352941176;19;0.020120724;17;1.5;0;0;2253
;1;1;5268;0;39;0;0;0.026860354;;;0;0;1791
1.07407407407407;1;1;5615;1;17;0;17;0.023198651;;0;0;1;
;1;0;3098;1;26;0;0;0.023198651;;;0;0;
1.15384615384615;2;1;4280;0;82;0;10;0.023198651;17;0;0;0;114
;;;782;1;6;0;0;0.026860354;;;;2;
0;0;1;176;1;7;0;41;0.023198651;4;0;0;1;
0.04;0;1;802;0;25;0;11;0.023198651;4;0;0;0;242
1.34210526315789;1;1;1225;0;23;1.51428571428571;36;0.023198651;;3.71428571428571;0;0;
;;;1807;0;12;;0;0.026860354;;;;0;1440
;0;1;4268;0;26;0;16;0.023198651;1;0;0;0;46
0;1;1;3222;0;50;0;41;0.023198651;;0;0;0;2748
;0;1;3643;4;82;0.0535714285714286;0;0.020120724;1;0;0;3;218
;1;1;4865;6;27;0;0;0.031356486;1;;0;1;
;0;1;3106;0;9;0;0;0.023198651;1;0;0;0;256
0;0;1;843;0;9;0;0;0.023198651;;0;0;0;536
;;;5202;2;14;0;0;0.023198651;;0;;2;74
;1;1;1918;0;4;;0;0.023198651;;;0;1;1798
3.17391304347826;2;1;4838;1;146;1.175;34;0.023198651;5;0;0;2;57
0;1;1;731;0;22;0;14;0.023198651;4;0;0;0;172
;0;1;501;2;10;0;0;0.023198651;;0;0;2;
6;0;0;654;3;17;0.666666666666667;30;0.023198651;6;1.2;0;1;
;1;0;4426;0;4;;0;0.023198651;;;0;0;
;2;1;4926;0;56;;0;0.023198651;;;0;0;2437
;1;0;5988;0;7;;0;0.023198651;;;0;0;
3.05882352941176;0;1;3704;0;79;0.166666666666667;6;0.020120724;;0.0833333333333333;0;0;2400
0;2;1;5394;5;132;0;27;0.020120724;47;0;0;3;1022
0;0;1;3226;5;20;0;55;0.023198651;1;0;0;8;491
;1;1;5838;0;50;0.235294117647059;0;0.020120724;3;0;0;0;
;0;0;1338;0;12;0;0;0.026860354;;;0;0;
0;1;1;5333;0;112;0;68;0.023198651;;0;0;0;698
0;1;1;4501;7;17;0;11;0.023198651;1;0;0;7;4368
;;;5728;0;2;;0;0.023198651;;;;0;
;0;1;568;1;26;0;23;0.023198651;;0;0;1;267
;0;0;917;1;9;0.1;0;0.023198651;;0.1;0;0;10
0;0;1;797;5;32;0;15;0.023198651;;0;0;5;114
0.189189189189189;1;1;4533;2;111;0.333333333333333;0;0.023198651;;0.5;0;1;1886
0;1;1;2917;0;70;0;46;0.020120724;35;0;0;0;1194
;1;1;1008;2;30;0.333333333333333;0;0.023198651;;1.66666666666667;0;0;288
2.66666666666667;0;1;4864;0;19;0.833333333333333;12;0.023198651;;0.833333333333333;0;0;4343
0;0;1;;0;0;0;0;0.023198651;;0;0;0;
;;;484;0;1;0;0;0.023198651;;;;0;454
;2;1;968;7;14;0;0;0.023198651;1;;0;3;599
0.223300970873786;0;1;3572;1;86;0.25;24;0.023198651;2;0.0833333333333333;0;1;2585
0;2;1;3779;0;40;0;9;0.023198651;25;0;0;0;477
;1;1;5151;0;44;0;0;0.023198651;5;;0;0;701
0;0;1;4019;1;102;0;69;0.020120724;3;0;0;0;486
;1;1;882;0;12;0;0;0.023198651;;0;0;0;
;0;2;4402;0;44;0;0;0.023198651;1;;0;0;486
